item_id,spec_name,n_offspec_features,notes
item_01,agent_education_system,,
item_02,agent_education_system,,
item_03,agent_education_system,,
item_04,agent_education_system,,
item_05,agent_education_system,,
item_06,agent_education_system,,
item_07,agent_education_system,,
item_08,agent_education_system,,
item_09,data_pipeline,,
item_10,data_pipeline,,
item_11,data_pipeline,,
item_12,data_pipeline,,
item_13,data_pipeline,,
item_14,data_pipeline,,
item_15,data_pipeline,,
item_16,data_pipeline,,
item_17,internal_tool_cli,,
item_18,internal_tool_cli,,
item_19,internal_tool_cli,,
